Time,Channel A,Channel B,Channel C,Channel D,Channel H
(ms),(V),(V),(V),(V),(mV)

27.35487835,-1.57337300,-1.91521200,-3.19405400,-4.00439500,-11.61641000
27.36487835,-1.57337300,-1.88926900,-3.16658500,-3.97845200,-11.50653000
27.37487835,-1.60084200,-1.94268100,-3.13911600,-3.95098300,-12.49542000
27.38487835,-1.60084200,-1.88926900,-3.19405400,-4.00439500,-12.49542000
27.39487835,-1.54590400,-1.88926900,-3.16658500,-4.00439500,-11.61641000
27.40487835,-1.57337300,-1.91521200,-3.16658500,-4.03186400,-11.39666000
27.41487835,-1.60084200,-1.91521200,-3.19405400,-3.97845200,-11.83616000
27.42487835,-1.57337300,-1.94268100,-3.16658500,-4.00439500,-11.94604000
27.43487835,-1.60084200,-1.91521200,-3.16658500,-3.95098300,-12.05591000
27.44487835,-1.62678600,-1.88926900,-3.19405400,-4.00439500,-11.50653000
27.45487835,-1.57337300,-1.91521200,-3.16658500,-3.95098300,-11.28678000
27.46487835,-1.57337300,-1.91521200,-3.11317300,-3.92351400,-11.83616000
27.47487835,-1.54590400,-1.88926900,-3.13911600,-3.95098300,-12.49542000
27.48487835,-1.54590400,-1.91521200,-3.16658500,-3.92351400,-12.16579000
27.49487835,-1.60084200,-1.91521200,-3.19405400,-3.97845200,-11.28678000
27.50487835,-1.57337300,-1.91521200,-3.19405400,-3.97845200,-11.72628000
27.51487835,-1.57337300,-1.88926900,-3.13911600,-3.95098300,-11.72628000
27.52487835,-1.57337300,-1.91521200,-3.16658500,-4.00439500,-11.72628000
27.53487835,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-11.17690000
27.54487835,-1.57337300,-1.86179900,-3.16658500,-3.95098300,-12.05591000
27.55487835,-1.54590400,-1.88926900,-3.13911600,-3.92351400,-11.61641000
27.56487835,-1.57337300,-1.88926900,-3.11317300,-3.89757000,-11.50653000
27.57487834,-1.54590400,-1.88926900,-3.16658500,-3.92351400,-10.52375000
27.58487834,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-11.61641000
27.59487834,-1.57337300,-1.91521200,-3.13911600,-3.97845200,-11.50653000
27.60487834,-1.57337300,-1.88926900,-3.16658500,-3.95098300,-11.39666000
27.61487834,-1.54590400,-1.88926900,-3.11317300,-3.87010100,-11.28678000
27.62487834,-1.54590400,-1.88926900,-3.13911600,-3.87010100,-11.28678000
27.63487834,-1.51843500,-1.86179900,-3.13911600,-3.89757000,-11.72628000
27.64487834,-1.51843500,-1.88926900,-3.13911600,-3.95098300,-10.85338000
27.65487834,-1.54590400,-1.91521200,-3.16658500,-3.97845200,-11.28678000
27.66487834,-1.54590400,-1.91521200,-3.16658500,-3.92351400,-11.72628000
27.67487834,-1.54590400,-1.88926900,-3.11317300,-3.87010100,-10.85338000
27.68487834,-1.54590400,-1.88926900,-3.11317300,-3.87010100,-11.50653000
27.69487834,-1.54590400,-1.88926900,-3.11317300,-3.95098300,-11.83616000
27.70487834,-1.54590400,-1.91521200,-3.16658500,-3.95098300,-11.83616000
27.71487834,-1.51843500,-1.86179900,-3.11317300,-3.89757000,-11.83616000
27.72487834,-1.54590400,-1.88926900,-3.16658500,-3.97845200,-11.94604000
27.73487834,-1.51843500,-1.88926900,-3.13911600,-3.92351400,-11.72628000
